form,source,title,author,content,poem_link-href,year,meter_pattern,rhyme_pattern,theme,imagery
Ballad,poetry_foundation,The Ballad of Reading Gaol: I,Oscar Wilde,"He did not wear his scarlet coat,
For blood and wine are red,
And blood and wine were on his hands
When they found him with the dead,
The poor dead woman whom he loved,
And murdered in her bed.

He walked amongst the Trial Men
In a suit of shabby gray;
A cricket cap was on his head,
And his step seemed light and gay;
But I never saw a man who looked
So wistfully at the day.

I never saw a man who looked
With such a wistful eye
Upon that little tent of blue
Which prisoners call the sky,
And at every drifting cloud that went
With sails of silver by.

I walked, with other souls in pain,
Within another ring,
And was wondering if the man had done
A great or little thing,
When a voice behind me whispered low,
""That fellow's got to swing.""

Dear Christ! the very prison walls
Suddenly seemed to reel,
And the sky above my head became
Like a casque of scorching steel;
And, though I was a soul in pain,
My pain I could not feel.

I only knew what hunted thought
Quickened his step, and why
He looked upon the garish day
With such a wistful eye;
The man had killed the thing he loved,
And so he had to die.

Yet each man kills the thing he loves,
By each let this be heard,
Some do it with a bitter look,
Some with a flattering word,
The coward does it with a kiss,
The brave man with a sword!

Some kill their love when they are young,
And some when they are old;
Some strangle with the hands of Lust,
Some with the hands of Gold:
The kindest use a knife, because
The dead so soon grow cold.

Some love too little, some too long,
Some sell, and others buy;
Some do the deed with many tears,
And some without a sigh:
For each man kills the thing he loves,
Yet each man does not die.

He does not die a death of shame
On a day of dark disgrace,
Nor have a noose about his neck,
Nor a cloth upon his face,
Nor drop feet foremost through the floor
Into an empty space.

He does not sit with silent men
Who watch him night and day;
Who watch him when he tries to weep,
And when he tries to pray;
Who watch him lest himself should rob
The prison of its prey.

He does not wake at dawn to see
Dread figures throng his room,
The shivering Chaplain robed in white,
The Sheriff stern with gloom,
And the Governor all in shiny black,
With the yellow face of Doom.

He does not rise in piteous haste
To put on convict-clothes,
While some coarse-mouthed Doctor gloats, and notes
Each new and nerve-twitched pose,
Fingering a watch whose little ticks
Are like horrible hammer-blows.

He does not know that sickening thirst
That sands one's throat, before
The hangman with his gardener's gloves
Slips through the padded door,
And binds one with three leathern thongs,
That the throat may thirst no more.

He does not bend his head to hear
The Burial Office read,
Nor while the terror of his soul
Tells him he is not dead,
Cross his own coffin, as he moves
Into the hideous shed.

He does not stare upon the air
Through a little roof of glass:
He does not pray with lips of clay
For his agony to pass;
Nor feel upon his shuddering cheek
The kiss of Caiaphas.",https://www.poetryfoundation.org/poems/45495/the-ballad-of-reading-gaol,,,ABCBDB,About the brutalisation of the punishment that all convicts share,"lips, blue, sky, sails, face, blows, prey, air, gloom, wine, reel, head, cloud, throat, neck, eye"
Ballad,poetry_foundation,The Lover: A Ballad,Lady Mary Wortley Montagu,"At length, by so much importunity press'd,
Take, C -  - , at once, the inside of my breast;
This stupid indiff'rence so often you blame,
Is not owing to nature, to fear, or to shame:
I am not as cold as a virgin in lead,
Nor is Sunday's sermon so strong in my head:
I know but too well how time flies along,
That we live but few years, and yet fewer are young.

But I hate to be cheated, and never will buy
Long years of repentance for moments of joy,
Oh! was there a man (but where shall I find
Good sense and good nature so equally join'd?)
Would value his pleasure, contribute to mine;
Not meanly would boast, nor would lewdly design;
Not over severe, yet not stupidly vain,
For I would have the power, tho' not give the pain.

No pedant, yet learned; no rake-helly gay,
Or laughing, because he has nothing to say;
To all my whole sex obliging and free,
Yet never be fond of any but me;
In public preserve the decorum that's just,
And shew in his eyes he is true to his trust;
Then rarely approach, and respectfully bow,
But not fulsomely pert, nor yet foppishly low.

But when the long hours of public are past,
And we meet with champagne and a chicken at last,
May ev'ry fond pleasure that moment endear;
Be banish'd afar both discretion and fear!
Forgetting or scorning the airs of the crowd,
He may cease to be formal, and I to be proud.
Till lost in the joy, we confess that we live,
And he may be rude, and yet I may forgive.

And that my delight may be solidly fix'd,
Let the friend and the lover be handsomely mix'd;
In whose tender bosom my soul may confide,
Whose kindness can soothe me, whose counsel can guide.
From such a dear lover as here I describe,
No danger should fright me, no millions should bribe;
But till this astonishing creature I know,
As I long have liv'd chaste, I will keep myself so.

I never will share with the wanton coquette,
Or be caught by a vain affectation of wit.
The toasters and songsters may try all their art,
But never shall enter the pass of my heart.
I loath the lewd rake, the dress'd fopling despise:
Before such pursuers the nice virgin flies:
And as Ovid has sweetly in parable told,
We harden like trees, and like rivers grow cold.",https://www.poetryfoundation.org/poems/44761/the-lover-a-ballad,,,AABBCCDD,About the search of an ideal lover ,"trees, breast, rivers, head, bow, eyes, airs, creature"
Ballad,poetry_foundation,Youth and Art,Robert Browning,"It once might have been, once only:
We lodged in a street together,
You, a sparrow on the housetop lonely,
I, a lone she-bird of his feather.

Your trade was with sticks and clay,
You thumbed, thrust, patted and polished,
Then laughed ""They will see some day
Smith made, and Gibson demolished.""

My business was song, song, song;
I chirped, cheeped, trilled and twittered,
""Kate Brown's on the boards ere long,
And Grisi's existence embittered!""

I earned no more by a warble
Than you by a sketch in plaster;
You wanted a piece of marble,
I needed a music-master.

We studied hard in our styles,
Chipped each at a crust like Hindoos,
For air looked out on the tiles,
For fun watched each other's windows.

You lounged, like a boy of the South,
Cap and blouse - nay, a bit of beard too;
Or you got it, rubbing your mouth
With fingers the clay adhered to.

And I - soon managed to find
Weak points in the flower-fence facing,
Was forced to put up a blind
And be safe in my corset-lacing.

No harm! It was not my fault
If you never turned your eye's tail up
As I shook upon E in alt,
Or ran the chromatic scale up:

For spring bade the sparrows pair,
And the boys and girls gave guesses,
And stalls in our street looked rare
With bulrush and watercresses.

Why did not you pinch a flower
In a pellet of clay and fling it?
Why did not I put a power
Of thanks in a look, or sing it?

I did look, sharp as a lynx,
(And yet the memory rankles,)
When models arrived, some minx
Tripped up-stairs, she and her ankles.

But I think I gave you as good!
""That foreign fellow, - who can know
How she pays, in a playful mood,
For his tuning her that piano?""

Could you say so, and never say
""Suppose we join hands and fortunes,
And I fetch her from over the way,
Her, piano, and long tunes and short tunes?""

No, no: you would not be rash,
Nor I rasher and something over:
You've to settle yet Gibson's hash,
And Grisi yet lives in clover.

But you meet the Prince at the Board,
I'm queen myself at bals-paré,
I've married a rich old lord,
And you're dubbed knight and an R.A.

Each life unfulfilled, you see;
It hangs still, patchy and scrappy:
We have not sighed deep, laughed free,
Starved, feasted, despaired, - been happy.

And nobody calls you a dunce,
And people suppose me clever:
This could but have happened once,
And we missed it, lost it for ever.",https://www.poetryfoundation.org/poems/43780/youth-and-art,,,ABAB,About the missed opportunity for romance between two young artists,"air, flower, tail, bird, eye"
Ballad,poetry_foundation,Memorabilia,Robert Browning,"Ah, did you once see Shelley plain,
And did he stop and speak to you?
And did you speak to him again?
How strange it seems, and new!

But you were living before that,
And you are living after,
And the memory I started at - 
My starting moves your laughter!

I crossed a moor, with a name of its own
And a certain use in the world no doubt,
Yet a hand's-breadth of it shines alone
'Mid the blank miles round about:

For there I picked up on the heather
And there I put inside my breast
A moulted feather, an eagle-feather - 
Well, I forget the rest.",https://www.poetryfoundation.org/poems/43767/memorabilia-56d22299dec53,,,ABAB,About a particularly profound moment in one's life and its connection to the past and present,breast
Ballad,poetry_foundation,Confessions,Robert Browning,"What is he buzzing in my ears?
""Now that I come to die,
Do I view the world as a vale of tears?""
Ah, reverend sir, not I!

What I viewed there once, what I view again
Where the physic bottles stand
On the table's edge, - is a suburb lane,
With a wall to my bedside hand.

That lane sloped, much as the bottles do,
From a house you could descry
O'er the garden-wall; is the curtain blue
Or green to a healthy eye?

To mine, it serves for the old June weather
Blue above lane and wall;
And that farthest bottle labelled ""Ether""
Is the house o'ertopping all.

At a terrace, somewhere near the stopper,
There watched for me, one June,
A girl: I know, sir, it's improper,
My poor mind's out of tune.

Only, there was a way... you crept
Close by the side, to dodge
Eyes in the house, two eyes except:
They styled their house ""The Lodge.""

What right had a lounger up their lane?
But, by creeping very close,
With the good wall's help, - their eyes might strain
And stretch themselves to Oes,

Yet never catch her and me together,
As she left the attic, there,
By the rim of the bottle labelled ""Ether,""
And stole from stair to stair,

And stood by the rose-wreathed gate. Alas,
We loved, sir - used to meet:
How sad and bad and mad it was - 
But then, how it was sweet!",https://www.poetryfoundation.org/poems/43750/confessions,,,ABAB,About a lover's confession regarding his secretive meetings with a girl,"blue, stretch, ears, eyes, weather, eye"
Ballad,poetry_foundation,Magic,Louis Untermeyer,"We passed old farmer Boothby in the field.
Rugged and straight he stood; his body steeled
With stubbornness and age. We met his eyes
That never flinched or turned to compromise,
And “Luck,” he cried, “good luck!” - and waved an arm,
Knotted and sailor-like, such as no farm
In all of Maine could boast of; and away
He turned again to pitch his new-cut hay...
We walked on leisurely until a bend
Showed him once more, now working toward the end
Of one great path; wearing his eighty years
Like banners lifted in a wind of cheers.

Then we turned off abruptly - took the road
Cutting the village, the one with the commanding
View of the river. And we strode
More briskly now to the long pier that showed
Where the frail boats were kept at Indian Landing.
In the canoe we stepped; our paddles dipped
Leisurely downwards, and the slim bark slipped
More on than in the water. Smoothly then
We shot its nose against the rippling current,
Feeling the rising river’s half-deterrent
Pull on the paddle as we turned the blade
To keep from swerving round; while we delayed
To watch the curious wave-eaten locks;
Or pass, with lazy turns, the picnic-rocks....
Blue eels flew under us, and fishes darted
A thousand ways; the once broad channel shrunk.
And over us the wise and noble-hearted
Twilight leaned down; the sunset mists were parted, - 
And we, with thoughts on tiptoe, slunk
Down the green, twisting alleys of the Kennebunk,

Motionless in the meadows
The trees, the rocks, the cows...
And quiet dripped from the shadows
Like rain from heavy boughs.

The tree-toads started ringing
Their ceaseless silver bells;
A land-locked breeze came swinging
Its censer of earthy smells.

The river’s tiny cañon
Stretched into dusky lands;
Like a dark and silent companion
Evening held out her hands.

Hushed were the dawn’s bravados;
Loud noon was a silenced cry - 
And quiet slipped from the shadows
As stars slip out of the sky...

It must have been an hour more, or later,
When, tramping homeward through the piney wood,
We felt the years fly back; the brotherhood
Of forests took us - and we saw the satyr!
There in a pool, up to his neck, he stood
And grinned to see us stare, incredulous - 
Too startled to remember fear or flight.
Feeling the menace in the crafty night,
We turned to run - when lo, he called to us!
Using our very names he called. We drew
With creaking courage down the avenue
Of birches till we saw, with clearing sight,
(No longer through a tricky, pale-green light)
Familiar turns and shrubs, the friendly path, - 
And Farmer Boothby in his woodland bath!
The woods became his background; every tree
Seemed part of him, and stood erect, and shared
The beauty of that gnarled serenity;
The quiet vigor of age that smiled and squared
Its shoulders against Time ... And even night
Flowed in and out of him, as though content
With such a native element;
Happy to move about a spirit quite
As old, as placid and as confident...
Sideways we turned. Still glistening and unclad
He leaped up on the bank, light as a lad,
His body in the moonlight dripping stars...

We went on homeward, through the pasture-bars.",https://www.poetryfoundation.org/poetrymagazine/poems/13417/magic-56d207ad115fc,,,AABB,"About the beauty of nature, the wisdom of age, and the enchanting moments that connect us to the world around us","woods, water, wood, mists, rain, shrubs, breeze, eyes, stars, river, blue, neck, trees, spirit, sky, forests, birches, sight, tree"
Ballad,poetry_foundation,Prospice,Robert Browning,"Fear death? - to feel the fog in my throat,
The mist in my face,
When the snows begin, and the blasts denote
I am nearing the place,

The power of the night, the press of the storm,
The post of the foe;
Where he stands, the Arch Fear in a visible form,
Yet the strong man must go:

For the journey is done and the summit attained,
And the barriers fall,
Though a battle's to fight ere the guerdon be gained,
The reward of it all.

I was ever a fighter, so - one fight more,
The best and the last!
I would hate that death bandaged my eyes and forbore,
And bade me creep past.

No! let me taste the whole of it, fare like my peers
The heroes of old,
Bear the brunt, in a minute pay glad life's arrears
Of pain, darkness and cold.

For sudden the worst turns the best to the brave,
The black minute's at end,
And the elements' rage, the fiend-voices that rave,
Shall dwindle, shall blend,

Shall change, shall become first a peace out of pain,
Then a light, then thy breast,
O thou soul of my soul! I shall clasp thee again,
And with God be the rest!",https://www.poetryfoundation.org/poems/43773/prospice,,,ABAB,About facing death without fear,"mist, face, breast, god, eyes, elements, blasts, throat, bear"
Ballad,poetry_foundation,Opera Bouffe,Philip Gross,"The count of cappuccino,
the marquise of meringue,
all the little cantuccini...
and what was the song they sang?

Oh, the best of us is nothing
but a sweetening of the air,
a tryst between the teeth and tongue:
we meet and no one’s there

though the café’s always crowded
as society arrives
and light glints to and fro between
the eyes and rings and knives.

We’ll slip away together,
perfect ghosts of appetite,
the balancing of ash on fire
and whim - the mating flight

of amaretti papers,
my petite montgolfiere,
our lit cage rising weightless
up the lift shaft of the air.

So the count of cappuccino,
the marquise of not much more,
consumed each other’s hunger.
Then the crash. And then the war.",https://www.poetryfoundation.org/poetrymagazine/poems/48091/opera-bouffe,,,ABCB,"About indulgence, fleeting pleasures and fragile relationships against the backdrop of a busy cafe","eyes, air, ash"
Ballad,poetry_foundation,The Rolling English Road,G. K. Chesterton,"Before the Roman came to Rye or out to Severn strode,
The rolling English drunkard made the rolling English road.
A reeling road, a rolling road, that rambles round the shire,
And after him the parson ran, the sexton and the squire;
A merry road, a mazy road, and such as we did tread
The night we went to Birmingham by way of Beachy Head.

I knew no harm of Bonaparte and plenty of the Squire,
And for to fight the Frenchman I did not much desire;
But I did bash their baggonets because they came arrayed
To straighten out the crooked road an English drunkard made,
Where you and I went down the lane with ale-mugs in our hands,
The night we went to Glastonbury by way of Goodwin Sands.

His sins they were forgiven him; or why do flowers run
Behind him; and the hedges all strengthening in the sun?
The wild thing went from left to right and knew not which was which,
But the wild rose was above him when they found him in the ditch.
God pardon us, nor harden us; we did not see so clear
The night we went to Bannockburn by way of Brighton Pier.

My friends, we will not go again or ape an ancient rage,
Or stretch the folly of our youth to be the shame of age,
But walk with clearer eyes and ears this path that wandereth,
And see undrugged in evening light the decent inn of death;
For there is good news yet to hear and fine things to be seen,
Before we go to Paradise by way of Kensal Green.",https://www.poetryfoundation.org/poems/48212/the-rolling-english-road,,,AABBCC,About celebrating the English countryside and the spirit of adventure,"flowers, stretch, sands, plenty, god, head, eyes, sun"
Ballad,poetry_foundation,Sir Humphrey Gilbert,Henry Wadsworth Longfellow,"Southward with fleet of ice
Sailed the corsair Death;
Wild and gast blew the blast,
And the east-wind was his breath.

His lordly ships of ice
Glisten in the sun;
On each side, like pennons wide,
Flashing crystal streamlets run.

His sails of white sea-mist
Dripped with silver rain;
But where he passed there were cast
Leaden shadows o'er the main.

Eastward from Campobello
Sir Humphrey Gilbert sailed;
Three days or more seaward he bore,
Then, alas! the land-wind failed.

Alas! the land-wind failed,
And ice-cold grew the night;
And nevermore, on sea or shore,
Should Sir Humphrey see the light.

He sat upon the deck,
The Book was in his hand;
""Do not fear! Heaven is as near,""
He said, ""by water as by land!""

In the first watch of the night,
Without a signal's sound,
Out of the sea, mysteriously,
The fleet of Death rose all around.

The moon and the evening star
Were hanging in the shrouds;
Every mast, as it passed,
Seemed to rake the passing clouds.

They grappled with their prize,
At midnight black and cold!
As of a rock was the shock;
Heavily the ground-swell rolled.

Southward through day and dark,
They drift in cold embrace,
With mist and rain, o'er the open main;
Yet there seems no change of place.

Southward, forever southward,
They drift through dark and day;
And like a dream, in the Gulf-Stream
Sinking, vanish all away.",https://www.poetryfoundation.org/poems/44647/sir-humphrey-gilbert,,,ABCB,About the death of Sir Humphrey Gilbert at sea as the result of collision of his vessel with an iceberg,"mist, rain, star, clouds, wind, moon, stream, blast, sun, sea, water, sails"
Ballad,poetry_foundation,The Wreck of the Hesperus,Henry Wadsworth Longfellow,"It was the schooner Hesperus,
That sailed the wintry sea;
And the skipper had taken his little daughtèr,
To bear him company.

Blue were her eyes as the fairy-flax,
Her cheeks like the dawn of day,
And her bosom white as the hawthorn buds,
That ope in the month of May.

The skipper he stood beside the helm,
His pipe was in his mouth,
And he watched how the veering flaw did blow
The smoke now West, now South.

Then up and spake an old Sailòr,
Had sailed to the Spanish Main,
""I pray thee, put into yonder port,
For I fear a hurricane.

""Last night, the moon had a golden ring,
And to-night no moon we see!""
The skipper, he blew a whiff from his pipe,
And a scornful laugh laughed he.

Colder and louder blew the wind,
A gale from the Northeast,
The snow fell hissing in the brine,
And the billows frothed like yeast.

Down came the storm, and smote amain
The vessel in its strength;
She shuddered and paused, like a frighted steed,
Then leaped her cable's length.

""Come hither! come hither! my little daughtèr,
And do not tremble so;
For I can weather the roughest gale
That ever wind did blow.""

He wrapped her warm in his seaman's coat
Against the stinging blast;
He cut a rope from a broken spar,
And bound her to the mast.

""O father! I hear the church-bells ring,
Oh say, what may it be?""
""'T is a fog-bell on a rock-bound coast!""  - 
And he steered for the open sea.

""O father! I hear the sound of guns,
Oh say, what may it be?""
""Some ship in distress, that cannot live
In such an angry sea!""

""O father! I see a gleaming light,
Oh say, what may it be?""
But the father answered never a word,
A frozen corpse was he.

Lashed to the helm, all stiff and stark,
With his face turned to the skies,
The lantern gleamed through the gleaming snow
On his fixed and glassy eyes.

Then the maiden clasped her hands and prayed
That savèd she might be;
And she thought of Christ, who stilled the wave
On the Lake of Galilee.

And fast through the midnight dark and drear,
Through the whistling sleet and snow,
Like a sheeted ghost, the vessel swept
Tow'rds the reef of Norman's Woe.

And ever the fitful gusts between
A sound came from the land;
It was the sound of the trampling surf
On the rocks and the hard sea-sand.

The breakers were right beneath her bows,
She drifted a dreary wreck,
And a whooping billow swept the crew
Like icicles from her deck.

She struck where the white and fleecy waves
Looked soft as carded wool,
But the cruel rocks, they gored her side
Like the horns of an angry bull.

Her rattling shrouds, all sheathed in ice,
With the masts went by the board;
Like a vessel of glass, she stove and sank,
Ho! ho! the breakers roared!

At daybreak, on the bleak sea-beach,
A fisherman stood aghast,
To see the form of a maiden fair,
Lashed close to a drifting mast.

The salt sea was frozen on her breast,
The salt tears in her eyes;
And he saw her hair, like the brown sea-weed,
On the billows fall and rise.

Such was the wreck of the Hesperus,
In the midnight and the snow!
Christ save us all from a death like this,
On the reef of Norman's Woe!",https://www.poetryfoundation.org/poems/44654/the-wreck-of-the-hesperus,,,ABCB,About the crash of a ship named Hesperus in a storm,"wave, blast, sand, blow, fog, face, breast, skies, eyes, billow, bows, sea, blue, billows, waves, buds, weather, moon, gale, fairy, gusts, wind"
